,day,time,play,relay,park,bigo
0,06.01(금),18:30,한화13vs6롯데,리뷰,사직,-
1,06.02(토),17:00,한화3vs2롯데,리뷰,사직,-
2,06.03(일),17:00,한화0vs6롯데,리뷰,사직,-
3,06.05(화),18:30,한화3vs7LG,리뷰,잠실,-
4,06.06(수),14:00,한화5vs1LG,리뷰,잠실,-
5,06.07(목),18:30,한화5vs6LG,리뷰,잠실,-
6,06.08(금),18:30,SK5vs7한화,리뷰,대전,-
7,06.09(토),17:00,SK4vs2한화,리뷰,대전,-
8,06.10(일),17:00,SK3vs4한화,리뷰,대전,-
9,06.12(화),18:30,한화6vs2넥센,리뷰,고척,-
10,06.13(수),18:30,한화2vs4넥센,리뷰,고척,-
11,06.14(목),18:30,한화9vs8넥센,리뷰,고척,-
12,06.15(금),18:30,두산13vs4한화,리뷰,대전,-
13,06.16(토),17:00,두산8vs3한화,리뷰,대전,-
14,06.17(일),17:00,두산6vs11한화,리뷰,대전,-
15,06.19(화),18:30,LG4vs0한화,리뷰,청주,-
16,06.20(수),18:30,LG7vs11한화,리뷰,청주,-
17,06.21(목),18:30,LG6vs9한화,리뷰,청주,-
18,06.22(금),18:30,한화5vs0NC,리뷰,마산,-
19,06.23(토),17:00,한화8vs1NC,리뷰,마산,-
20,06.24(일),17:00,한화5vs3NC,리뷰,마산,-
21,06.26(화),18:30,삼성13vs2한화,리뷰,대전,-
22,06.27(수),18:30,삼성0vs4한화,리뷰,대전,-
23,06.28(목),18:30,삼성3vs8한화,리뷰,대전,-
24,06.29(금),18:30,롯데2vs5한화,리뷰,대전,-
25,06.30(토),17:00,롯데5vs6한화,리뷰,대전,-
26,07.03(화),18:30,한화2vs9KIA,리뷰,광주,-
27,07.04(수),18:30,한화4vs6KIA,리뷰,광주,-
28,07.05(목),18:30,한화8vs2KIA,리뷰,광주,-
29,07.06(금),18:30,한화0vs6SK,리뷰,문학,-
30,07.07(토),18:00,한화4vs5SK,리뷰,문학,-
31,07.08(일),18:00,한화5vs2SK,리뷰,문학,-
32,07.10(화),18:30,넥센1vs4한화,리뷰,대전,-
33,07.11(수),18:30,넥센22vs8한화,리뷰,대전,-
34,07.12(목),18:30,넥센1vs4한화,리뷰,대전,-
35,07.17(화),18:30,한화8vs1KT,리뷰,수원,-
36,07.18(수),18:30,한화2vs4KT,리뷰,수원,-
37,07.19(목),18:30,한화7vs8KT,리뷰,수원,-
38,07.20(금),18:30,한화1vs0삼성,리뷰,대구,-
39,07.21(토),18:00,한화3vs4삼성,리뷰,대구,-
40,07.22(일),18:00,한화4vs5삼성,리뷰,대구,-
41,07.24(화),18:30,KIA0vs5한화,리뷰,대전,-
42,07.25(수),18:30,KIA11vs3한화,리뷰,대전,-
43,07.26(목),18:30,KIA3vs6한화,리뷰,대전,-
44,07.27(금),18:30,한화16vs7두산,리뷰,잠실,-
45,07.28(토),18:00,한화6vs13두산,리뷰,잠실,-
