,year,day,time,play
0,2018,06.01(금),18:30,한화13vs6롯데
1,2018,06.02(토),17:00,한화3vs2롯데
2,2018,06.03(일),17:00,한화0vs6롯데
3,2018,06.05(화),18:30,한화3vs7LG
4,2018,06.06(수),14:00,한화5vs1LG
5,2018,06.07(목),18:30,한화5vs6LG
6,2018,06.08(금),18:30,SK5vs7한화
7,2018,06.09(토),17:00,SK4vs2한화
8,2018,06.10(일),17:00,SK3vs4한화
9,2018,06.12(화),18:30,한화6vs2넥센
10,2018,06.13(수),18:30,한화2vs4넥센
11,2018,06.14(목),18:30,한화9vs8넥센
12,2018,06.15(금),18:30,두산13vs4한화
13,2018,06.16(토),17:00,두산8vs3한화
14,2018,06.17(일),17:00,두산6vs11한화
15,2018,06.19(화),18:30,LG4vs0한화
16,2018,06.20(수),18:30,LG7vs11한화
17,2018,06.21(목),18:30,LG6vs9한화
18,2018,06.22(금),18:30,한화5vs0NC
19,2018,06.23(토),17:00,한화8vs1NC
20,2018,06.24(일),17:00,한화5vs3NC
21,2018,06.26(화),18:30,삼성13vs2한화
22,2018,06.27(수),18:30,삼성0vs4한화
23,2018,06.28(목),18:30,삼성3vs8한화
24,2018,06.29(금),18:30,롯데2vs5한화
25,2018,06.30(토),17:00,롯데5vs6한화
26,2018,07.03(화),18:30,한화2vs9KIA
27,2018,07.04(수),18:30,한화4vs6KIA
28,2018,07.05(목),18:30,한화8vs2KIA
29,2018,07.06(금),18:30,한화0vs6SK
30,2018,07.07(토),18:00,한화4vs5SK
31,2018,07.08(일),18:00,한화5vs2SK
32,2018,07.10(화),18:30,넥센1vs4한화
33,2018,07.11(수),18:30,넥센22vs8한화
34,2018,07.12(목),18:30,넥센1vs4한화
35,2018,07.17(화),18:30,한화8vs1KT
36,2018,07.18(수),18:30,한화2vs4KT
37,2018,07.19(목),18:30,한화7vs8KT
38,2018,07.20(금),18:30,한화1vs0삼성
39,2018,07.21(토),18:00,한화3vs4삼성
40,2018,07.22(일),18:00,한화4vs5삼성
41,2018,07.24(화),18:30,KIA0vs5한화
42,2018,07.25(수),18:30,KIA11vs3한화
43,2018,07.26(목),18:30,KIA3vs6한화
44,2018,07.27(금),18:30,한화16vs7두산
45,2018,07.28(토),18:00,한화6vs13두산
46,2018,07.29(일),18:00,한화1vs3두산
47,2018,07.31(화),18:30,KT5vs4한화
48,2018,08.01(수),18:30,KT3vs4한화
49,2018,08.02(목),18:30,KT3vs5한화
50,2018,08.04(토),18:00,NC7vs5한화
51,2018,08.05(일),18:00,NC10vs8한화
52,2018,08.07(화),18:30,한화4vs6두산
53,2018,08.08(수),18:30,한화8vs2두산
54,2018,08.09(목),18:30,넥센16vs5한화
55,2018,08.10(금),18:30,넥센9vs4한화
56,2018,08.11(토),18:00,KT3vs5한화
57,2018,08.12(일),18:00,KT4vs5한화
58,2018,08.14(화),18:30,한화4vs9롯데
59,2018,08.16(목),18:30,한화2vs5삼성
60,2018,09.04(화),18:30,롯데4vs6한화
61,2018,09.05(수),18:30,롯데5vs11한화
62,2018,09.06(목),18:30,한화9vs2KT
63,2018,09.07(금),18:30,한화4vs12KT
64,2018,09.08(토),17:00,한화1vs5LG
65,2018,09.09(일),14:00,한화5vs8LG
66,2018,09.11(화),18:30,한화8vs7삼성
67,2018,09.12(수),18:30,한화7vs3삼성
68,2018,09.13(목),18:30,SK2vs1한화
69,2018,09.14(금),18:30,SK7vs5한화
70,2018,09.15(토),17:00,LG12vs4한화
71,2018,09.16(일),14:00,LG1vs5한화
72,2018,09.18(화),18:30,한화3vs10NC
73,2018,09.19(수),18:30,한화7vs4NC
74,2018,09.20(목),18:30,한화8vs2SK
75,2018,09.21(금),18:30,한화4vs5SK
76,2018,09.22(토),17:00,KIA11vs5한화
77,2018,09.23(일),14:00,KIA6vs8한화
78,2018,09.25(화),14:00,삼성8vs1한화
79,2018,09.26(수),14:00,삼성4vs8한화
80,2018,09.27(목),18:30,두산6vs9한화
81,2018,09.28(금),18:30,두산4vs5한화
82,2018,09.29(토),17:00,한화3vs4KIA
83,2018,09.30(일),14:00,한화4vs6KIA
84,2019,06.01(토),17:00,한화6vs0SK
85,2019,06.02(일),17:00,한화2vs5SK
86,2019,06.04(화),18:30,한화2vs3롯데
87,2019,06.05(수),18:30,한화6vs3롯데
88,2019,06.06(목),14:00,한화4vs3롯데
